18.469978 	-40.501421 	
26.897935 	-40.551063 	
34.650699 	-40.596728 	
38.321217 	-40.618348 	
44.239548 	-38.267751 	
46.706232 	-28.953700 	
46.779676 	-16.484930 	
50.279376 	-3.802391 	
56.720894 	2.692479 	
61.954815 	18.304571 	
62.010488 	37.015459 	
62.104293 	68.542099 	
58.932983 	89.531857 	
42.600885 	93.438055 	
35.881238 	93.488414 	
20.343388 	93.604862 	
4.948557 	93.720237 	
-1.932898 	93.771810 	
-5.607765 	93.799351 	
-12.807170 	89.133987 	
-15.172317 	76.035562 	
-15.172314 	58.061613 	
-15.172310 	37.870151 	
-18.035386 	19.386818 	
-25.676134 	9.708538 	
-27.825556 	-0.802626 	
-27.943322 	-20.796152 	
-28.006864 	-31.583942 	
-26.265345 	-37.139291 	
-20.039203 	-40.274594 	
-15.172296 	-40.303261 	
-8.517746 	-40.342457 	
0.939306 	-40.398161 	
11.285152 	-40.459101 	
18.469978 	-40.501421 	
